Вопрос:столкнулись с проблемой нештатной работы СКЗИ. Из функционала также настроен frr, получает маршруты по BGP. В определенный момент пользователи жаловались на не работающую связь. По логам самостоятельно не удалось найти корневую причину, нашел только переключение VRRP беспричинное, однако проблема началась не после него судя по всему.;"Ответ:необходимо обновить пакет snmp и frr
В Личном Кабинете - Материалы для загрузки - Дополнительные пакеты, исправление проблем и уязвимостей в ПО:

Пакет динамической маршрутизации FRR версии 8.2.2 для ""С-Терра Шлюз"" 4.3 всех классов. 

snmpd_43.zip
Скрипт предназначен для обновления SNMP на криптошлюзах ""С-Терра Шлюз"" 4.3 (KC1, KC2 и KC3, включая СофтМДЗ)."
Вопрос 1:Вышел из строя КШ - не подает признаков жизни при включении. Ставил заведомо рабочий блок питания, переподключал батарейку БИОС - не помогло;"Ответ 1:Если с отключением батарейки BIOS на несколько минут проверялось и проверялось с заведомо рабочим БП и это не решило проблему, тогда понадобится диагностика 
данного шлюза в нашем офисе.

Перед отправкой оборудования необходимо заполнить форму запроса на ремонт. Вы можете отправить ее по электронной почте на адрес support@s-terra.com или прикрепить к запросу в вашем Личном Кабинете на портале технической поддержки по адресу https://www.s-terra.ru/cabinet/.

Бланк формы запроса доступен в вашем личном кабинете в разделе ""Материалы для загрузки"" - ""Вспомогательные инструменты"" - ""RepairRequest"" (RepairRequest.doc).

После обработки заполненной формы, запросу будет присвоен RMA ID, и Вам переданы данные контактного лица и адрес назначения."
Вопрос 1:Возникла проблема с КШ - устройство не включается. Пробовал включать с заведомо рабочим блоком питания, а также переподключить батарейку биосИндикации нет, вывода на консольный порт нет;"Ответ 1:В таком случае необходима диагностика данного шлюза в нашем офисе.
Перед отправкой оборудования необходимо заполнить форму запроса на ремонт. Вы можете отправить ее по электронной почте на адрес support@s-terra.com или прикрепить к запросу в вашем Личном Кабинете на портале технической поддержки по адресу https://www.s-terra.ru/cabinet/.

Бланк формы запроса доступен в вашем личном кабинете в разделе ""Материалы для загрузки"" - ""Вспомогательные инструменты"" - ""RepairRequest"" (RepairRequest.doc).

После обработки заполненной формы, запросу будет присвоен RMA ID, и Вам переданы данные контактного лица и адрес назначения."
Вопрос1:Просьба рассказать подробнее про индикатор STATUS (его состояния, должен ли он гореть в исправном состоянии).;"Ответ1:Данный индикатор в режиме эксплуатации при стандартных настройках и отсутствие неисправности не светится.
В техническом описании проданный светодиод написано следующее:
STATUS: этот светодиод программируемый. Вы можете запрограммировать его на отображение рабочего состояния следующим образом:
Если светодиод зеленый, это означает, что рабочее состояние системы нормальное. Если он красный, это означает, что система неисправна."
Вопрос:Как можно реализовать разграничение доступа?Требуется предоставить доступ на КШ только на чтение.;"Ответ:При физическом подключении к шлюзу (через консольный порт или при подключении к шлюзу монитора и клавиатуры) на шлюзе работает  консоль разграничения доступа, в рамках 
которой   можно создать отдельного пользователя или пользователей (роль - пользователь) с правами только просмотра различной информации. 
https://doc.s-terra.ru/rh_output/4.3/Gate/output/index.htm#t=mergedProjects%2FAdministrative%20console%2F%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%8B_%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D1%8F_%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0.htm
раздел ""Создание пользователя с однофакторной аутентификацией"" либо раздел ""Создание пользователя с двухфакторной аутентификацией""

Команды, которые сможет выполнять такой пользователь по ссылке ниже: 
https://doc.s-terra.ru/rh_output/4.3/Gate/output/index.htm#t=mergedProjects%2FAdministrative%20console%2F%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D1%8B_%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D1%8F_%D0%BF%D0%BE%D0%BB%D1%8C%"
Вопрос 2:есть ли сценарий, что из cisco-like работает только команда sh run? Можно такое сделать через радиус?;"Ответ 2:таких сценариев нет. 

при подключении к шлюзу через Radius   будет проводится только аутентификация, при этом для того, чтобы это работало, пользователь (с которым происходит подключение 
к шлюзу) должен быть предварительно заведен как на Radius сервере, так и на самом шлюзе. 
Сценарий аутентификации через RADIUS по ссылке   ниже: 
https://doc.s-terra.ru/rh_output/4.3/Scenarios/output/index.htm#t=mergedProjects%2Fver_4_3_instr_08_RADIUS_SSH%2Fver_4_3_instr_08_RADIUS_SSH.htm"
Вопрос 1:при установке клиента на Win 11 выдает ошибку 25021;"Ответ 1:Уточните, пожалуйста, установка производиться впервые?

Для получения диагностической информации хочу попросить Вас выполнить несколько шагов:
 
 1. В ЕЛК, 
 в разделе Материалы для загрузки -> Дополнительный пакеты, исправление проблем и уязвимостей в ПО -> CSP VPN Cleaner получить программу для принудительной очистки машины от файлов С-Терра Клиент.
 2. Запустить, с правами администратора, эту утилиту в режиме clean. Описание этой утилиты помещено в архив, в файл
 readme.txt. Обязательно ознакомьтесь с этим файлом перед запуском утилиты.
 3. после очистки и перезагрузки машины повторите установку с протоколированием.
 4. если проблема повторится присылайте для анализа: 
 а. лог Clearner-а
 б. лог инсталлятора
 в. файл %Windir%\\Inf\\SetupAPI.app.log
 г. %Windir%\\Inf\\SetupAPI.dev.log
 д. %windir%\temp\vpnlogsvc\error.log
 е. %windir%\temp\vpnsvc\error.log
 ж. %windir%\temp\cp.log
 з. cspvpn_verify_err.log

 Также, необходимо убедиться в том, что антивирус и брэндмауэр компь"
Вопрос 2:как попасть в этот ЕЛК;"Ответ 2:Для того, чтобы попасть в ЕЛК, необходимо пройти регистрацию на сайте или по ссылке:
https://www.s-terra.ru/registration/"
Вопрос 1:В логах устройства постоянно наблюдаем ошибки диска;"Ответ 1:Рекомендуем проверить носитель на сбойные блоки.

Для этого в операционной системе с диска восстановления (UpFlash 4.3) , можно использовать утилиту для поиска сбойных блоков на устройстве:
badblocks [ -svwnf ] [ -b размер-блока ] [ -c порция_блоков ] [ -i входящий_файл ] [ -o исходящий_файл ]
[ -p число_поисков ] [ -t проверяемый_образец ] устройство [ конечный-блок ] [ начальный-блок]
Воспользуйтесь данной утилитой с ключом -n


БУДЬТЕ ОСТОРОЖНЫ!
Никогда не применяйте параметр -w на устройстве, которое содержит используемую файловую систему.
Этот параметр приводит к уничтожению информации на диске!
Если Вы желаете использовать для проверки файловой системы режим записи, тогда применяйте параметр -n.
В этом случае проверка будет более медленной, но ваши данные не пострадают."
Вопрос 1:При диагностике КШ, выявили проблему с отсутствием изображения на мониторе и через подключенный консольный кабель.;"Уточните, пожалуйста, следующее (по видео это не вполне понятно)
1. Переключение к шлюзу с консольного кабеля на монитор и клавиатуру напрямую выполнялось при отключенном шлюзе?
2. После каких событий/действий появилась данная проблема?
3. Пробовалось ли для решения проблемы проделать следующие действия ?    3.1. Отключить все переферийные устройства и питание от платфомы; 3.2. Снять верхнюю крышку;3.3. Отсоединить батарейку из разъема J4A1 и подождать 1 минуту; 3.4. Подключить батарейку в J4A1 и собрать платформу; 3.5. Подать питание и дождаться загрузки платформы."
